Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
1901,0,0.16378,0.14802,0.35,1e+05,14802.051,90378.667,4517514.332,45.175
1901,1,0.04642,0.04536,0.5,85197.949,3864.918,83265.49,4427135.665,51.963
1901,2,0.02597,0.02564,0.5,81333.031,2085.078,80290.492,4343870.175,53.408
1901,3,0.0165,0.01636,0.5,79247.953,1296.871,78599.517,4263579.683,53.801
1901,4,0.01246,0.01238,0.5,77951.082,965.414,77468.375,4184980.166,53.687
1901,5,0.00899,0.00895,0.5,76985.668,689.356,76640.99,4107511.791,53.354
1901,6,0.00722,0.00719,0.5,76296.312,548.904,76021.86,4030870.801,52.832
1901,7,0.00594,0.00592,0.5,75747.408,448.547,75523.134,3954848.942,52.211
1901,8,0.00487,0.00485,0.5,75298.861,365.505,75116.108,3879325.807,51.519
1901,9,0.00432,0.00431,0.5,74933.356,323.027,74771.843,3804209.699,50.768
1901,10,0.00379,0.00378,0.5,74610.329,282.086,74469.286,3729437.856,49.986
1901,11,0.00352,0.00351,0.5,74328.244,260.816,74197.835,3654968.57,49.173
1901,12,0.00352,0.00352,0.5,74067.427,260.462,73937.196,3580770.734,48.345
1901,13,0.00387,0.00386,0.5,73806.966,285.13,73664.401,3506833.538,47.514
1901,14,0.0042,0.00419,0.5,73521.836,308.226,73367.723,3433169.137,46.696
1901,15,0.0048,0.00478,0.5,73213.61,350.285,73038.468,3359801.414,45.89
1901,16,0.00519,0.00518,0.5,72863.325,377.39,72674.63,3286762.947,45.109
1901,17,0.00529,0.00528,0.5,72485.935,382.459,72294.706,3214088.316,44.341
1901,18,0.00537,0.00535,0.5,72103.476,385.969,71910.491,3141793.61,43.573
1901,19,0.00556,0.00555,0.5,71717.507,397.902,71518.556,3069883.119,42.805
1901,20,0.00659,0.00657,0.5,71319.605,468.483,71085.363,2998364.563,42.041
1901,21,0.00663,0.00661,0.5,70851.122,468.538,70616.853,2927279.2,41.316
1901,22,0.00727,0.00724,0.5,70382.584,509.79,70127.689,2856662.347,40.588
1901,23,0.00713,0.00711,0.5,69872.794,496.592,69624.498,2786534.658,39.88
1901,24,0.00738,0.00735,0.5,69376.201,509.79,69121.306,2716910.16,39.162
1901,25,0.00755,0.00753,0.5,68866.411,518.296,68607.263,2647788.854,38.448
1901,26,0.00742,0.00739,0.5,68348.116,505.399,68095.416,2579181.59,37.736
1901,27,0.00766,0.00763,0.5,67842.717,517.666,67583.884,2511086.174,37.013
1901,28,0.00796,0.00793,0.5,67325.051,533.662,67058.22,2443502.291,36.294
1901,29,0.00727,0.00724,0.5,66791.388,483.822,66549.478,2376444.071,35.58
1901,30,0.00805,0.00802,0.5,66307.567,531.924,66041.605,2309894.593,34.836
1901,31,0.00802,0.00798,0.5,65775.643,525.146,65513.07,2243852.988,34.114
1901,32,0.00867,0.00863,0.5,65250.497,563.323,64968.836,2178339.918,33.384
1901,33,0.00867,0.00863,0.5,64687.174,558.366,64407.991,2113371.083,32.671
1901,34,0.0095,0.00945,0.5,64128.808,606.246,63825.685,2048963.092,31.951
1901,35,0.00988,0.00983,0.5,63522.562,624.477,63210.324,1985137.406,31.251
1901,36,0.0104,0.01035,0.5,62898.085,650.915,62572.628,1921927.083,30.556
1901,37,0.01099,0.01093,0.5,62247.17,680.262,61907.039,1859354.455,29.871
1901,38,0.01141,0.01134,0.5,61566.908,698.437,61217.69,1797447.416,29.195
1901,39,0.01065,0.01059,0.5,60868.471,644.862,60546.04,1736229.726,28.524
1901,40,0.01217,0.0121,0.5,60223.609,728.704,59859.257,1675683.686,27.824
1901,41,0.01096,0.0109,0.5,59494.905,648.393,59170.709,1615824.429,27.159
1901,42,0.01261,0.01253,0.5,58846.513,737.173,58477.926,1556653.72,26.453
1901,43,0.01116,0.01109,0.5,58109.339,644.633,57787.023,1498175.794,25.782
1901,44,0.0115,0.01144,0.5,57464.706,657.116,57136.148,1440388.771,25.066
1901,45,0.01275,0.01267,0.5,56807.589,719.768,56447.706,1383252.624,24.35
1901,46,0.01326,0.01317,0.5,56087.822,738.837,55718.403,1326804.918,23.656
1901,47,0.01393,0.01384,0.5,55348.985,765.928,54966.021,1271086.515,22.965
1901,48,0.01536,0.01524,0.5,54583.057,831.827,54167.144,1216120.494,22.28
1901,49,0.01486,0.01475,0.5,53751.231,793.013,53354.724,1161953.35,21.617
1901,50,0.01713,0.01699,0.5,52958.218,899.532,52508.452,1108598.626,20.933
1901,51,0.01608,0.01595,0.5,52058.686,830.241,51643.566,1056090.174,20.287
1901,52,0.01818,0.01801,0.5,51228.445,922.779,50767.056,1004446.608,19.607
1901,53,0.01771,0.01755,0.5,50305.666,883.059,49864.137,953679.552,18.958
1901,54,0.01754,0.01739,0.5,49422.607,859.425,48992.895,903815.416,18.287
1901,55,0.01996,0.01976,0.5,48563.182,959.536,48083.414,854822.521,17.602
1901,56,0.02163,0.0214,0.5,47603.646,1018.644,47094.324,806739.107,16.947
1901,57,0.02222,0.02197,0.5,46585.002,1023.616,46073.194,759644.783,16.307
1901,58,0.02383,0.02355,0.5,45561.386,1072.887,45024.943,713571.588,15.662
1901,59,0.02327,0.023,0.5,44488.5,1023.195,43976.902,668546.645,15.027
1901,60,0.03006,0.02961,0.5,43465.305,1287.01,42821.8,624569.743,14.369
1901,61,0.02812,0.02773,0.5,42178.295,1169.587,41593.501,581747.943,13.793
1901,62,0.03076,0.03029,0.5,41008.707,1242.306,40387.555,540154.442,13.172
1901,63,0.03295,0.03241,0.5,39766.402,1288.996,39121.903,499766.888,12.568
1901,64,0.03582,0.03519,0.5,38477.405,1354.152,37800.329,460644.984,11.972
1901,65,0.0427,0.04181,0.5,37123.253,1551.95,36347.278,422844.655,11.39
1901,66,0.04726,0.04616,0.5,35571.303,1642.13,34750.238,386497.377,10.865
1901,67,0.04892,0.04775,0.5,33929.173,1620.03,33119.158,351747.139,10.367
1901,68,0.05339,0.052,0.5,32309.143,1680.071,31469.107,318627.982,9.862
1901,69,0.05425,0.05281,0.5,30629.071,1617.641,29820.251,287158.874,9.375
1901,70,0.06761,0.0654,0.5,29011.43,1897.257,28062.801,257338.624,8.87
1901,71,0.06483,0.0628,0.5,27114.173,1702.67,26262.838,229275.822,8.456
1901,72,0.07332,0.07073,0.5,25411.503,1797.3,24512.853,203012.984,7.989
1901,73,0.07618,0.07338,0.5,23614.203,1732.863,22747.772,178500.131,7.559
1901,74,0.08414,0.08074,0.5,21881.34,1766.807,20997.937,155752.359,7.118
1901,75,0.09569,0.09132,0.5,20114.533,1836.889,19196.089,134754.423,6.699
1901,76,0.10398,0.09884,0.5,18277.644,1806.584,17374.352,115558.334,6.322
1901,77,0.11326,0.10719,0.5,16471.06,1765.505,15588.308,98183.981,5.961
1901,78,0.13455,0.12607,0.5,14705.556,1853.902,13778.605,82595.673,5.617
1901,79,0.13076,0.12274,0.5,12851.654,1577.387,12062.96,68817.068,5.355
1901,80,0.15333,0.14241,0.5,11274.266,1605.551,10471.491,56754.108,5.034
1901,81,0.14883,0.13852,0.5,9668.716,1339.355,8999.039,46282.617,4.787
1901,82,0.17558,0.16141,0.5,8329.361,1344.466,7657.128,37283.579,4.476
1901,83,0.17401,0.16008,0.5,6984.896,1118.17,6425.811,29626.45,4.242
1901,84,0.19985,0.1817,0.5,5866.726,1065.956,5333.748,23200.639,3.955
1901,85,0.20841,0.18874,0.5,4800.77,906.09,4347.725,17866.891,3.722
1901,86,0.2248,0.20208,0.5,3894.68,787.053,3501.153,13519.167,3.471
1901,87,0.25973,0.22987,0.5,3107.626,714.36,2750.447,10018.014,3.224
1901,88,0.2973,0.25883,0.5,2393.267,619.446,2083.544,7267.567,3.037
1901,89,0.29681,0.25845,0.5,1773.821,458.453,1544.594,5184.023,2.923
1901,90,0.31612,0.27297,0.5,1315.368,359.057,1135.839,3639.429,2.767
1901,91,0.33829,0.28934,0.5,956.311,276.703,817.959,2503.59,2.618
1901,92,0.36119,0.30594,0.5,679.607,207.917,575.649,1685.631,2.48
1901,93,0.38474,0.32267,0.5,471.69,152.199,395.59,1109.982,2.353
1901,94,0.40884,0.33945,0.5,319.491,108.452,265.265,714.392,2.236
1901,95,0.43339,0.35621,0.5,211.039,75.173,173.452,449.127,2.128
1901,96,0.45828,0.37284,0.5,135.866,50.657,110.537,275.675,2.029
1901,97,0.48337,0.38928,0.5,85.209,33.171,68.624,165.137,1.938
1901,98,0.50854,0.40545,0.5,52.038,21.099,41.489,96.513,1.855
1901,99,0.53368,0.42127,0.5,30.939,13.034,24.423,55.024,1.778
1901,100,0.55864,0.43667,0.5,17.906,7.819,13.996,30.602,1.709
1901,101,0.58331,0.4516,0.5,10.087,4.555,7.809,16.605,1.646
1901,102,0.60757,0.46601,0.5,5.532,2.578,4.243,8.796,1.59
1901,103,0.63131,0.47985,0.5,2.954,1.417,2.245,4.554,1.542
1901,104,0.65443,0.49309,0.5,1.536,0.758,1.158,2.308,1.502
1901,105,0.67684,1,1.477,0.779,0.779,1.151,1.151,1.477
1902,0,0.14954,0.13629,0.35,1e+05,13629.426,91140.873,4652451.054,46.525
1902,1,0.03899,0.03824,0.5,86370.574,3303.092,84719.028,4561310.181,52.811
1902,2,0.02384,0.02356,0.5,83067.482,1957.026,82088.969,4476591.153,53.891
1902,3,0.0149,0.01479,0.5,81110.456,1199.642,80510.635,4394502.184,54.179
1902,4,0.01074,0.01068,0.5,79910.814,853.584,79484.022,4313991.549,53.985
1902,5,0.00771,0.00768,0.5,79057.23,606.82,78753.82,4234507.527,53.563
1902,6,0.00622,0.0062,0.5,78450.41,486.322,78207.249,4155753.707,52.973
1902,7,0.00527,0.00526,0.5,77964.088,410.165,77759.005,4077546.458,52.3
1902,8,0.00445,0.00444,0.5,77553.922,344.147,77381.849,3999787.453,51.574
1902,9,0.00357,0.00357,0.5,77209.776,275.401,77072.075,3922405.604,50.802
1902,10,0.00337,0.00336,0.5,76934.375,258.769,76804.99,3845333.529,49.982
1902,11,0.00333,0.00333,0.5,76675.606,255.286,76547.963,3768528.538,49.149
1902,12,0.0033,0.0033,0.5,76420.32,252.015,76294.312,3691980.575,48.312
1902,13,0.00361,0.0036,0.5,76168.305,274.126,76031.242,3615686.263,47.47
1902,14,0.00437,0.00436,0.5,75894.179,330.947,75728.705,3539655.022,46.639
1902,15,0.00451,0.0045,0.5,75563.232,340.318,75393.073,3463926.316,45.841
1902,16,0.00506,0.00505,0.5,75222.914,379.62,75033.104,3388533.244,45.047
1902,17,0.00532,0.00531,0.5,74843.294,397.289,74644.649,3313500.14,44.273
1902,18,0.00566,0.00564,0.5,74446.004,420.142,74235.933,3238855.491,43.506
1902,19,0.0059,0.00589,0.5,74025.862,435.724,73808,3164619.558,42.75
